,song,lyrics
0,hellevator,My life was rock bottom  an edge of a cliff. I'm walking in a dark tunnel. Cruel and fearful days. I'm enduring through alone. The classroom hallways get farther away  I'm on unfamiliar paths. I'm so unlucky. On this path I'm on. I don't even have a map. But I never want to turn around. It's a maze. Shedding blood sweat instead of blood tears  I comfort myself. People tell me this kind of suffering. Is just a passing storm. That if I want to succeed  even though I'm afraid. I need to set up a trap called failure. As I bit on the bait that is pain. I'm wandering. As I put away my tired wings of passion. My life was rock bottom  an edge of a cliff. I'm walking in a dark tunnel. Cruel and fearful days. I'm enduring through alone. I hold out my hand. But no one is there to grab it. I'm riding on my pain and my tears. As I try to escape above. I'm on a hellevator. My hellevator. I'm on a hellevator. My hellevator. I'm on a hellevator. There's nothing. No one to care or worry about me. Only cold words. Telling me to give up on my dreams. Those quitting words keep hitting my ear. Only despair grows. The hopeful sky only gets covered by other people's hands. I'm praying to live as I try to endure. With the piercing eyes on me. I'm going insane. Even if I succeed. I'll be someone's clown. So people tell me to give up on becoming a singer. I'm getting weak. But I keep pushing myself. My life was rock bottom  an edge of a cliff. I'm walking in a dark tunnel. Cruel and fearful days. I'm enduring through alone. I hold out my hand. But no one is there to grab it. I'm riding on my pain and my tears. As I try to escape above. I'm on a hellevator. My hellevator. I'm on a hellevator. My hellevator. I'm on a hellevator. I'm trying to look for an exit. Take myself out from being trapped in the darkness. I'm fighting harder  run away from this place. I'm on the hellevator  I'm gonna go up. I'm escaping from my dark past. Shining on my path ahead. Tiresome times that drove me crazy. I'm running so I can forget. As the bell of a new start rings. I got on  hold my hand. And take me to the penthouse  my hellevator. I'm on a hellevator. My hellevator. I'm on a hellevator. 
1,grrrlawoftotalmadnessgrrr,Law of total madness. Grrr  my mind is a mess. Even if I'm like a violent ant. I don't care  I'll bark with anger. Leaving behind anyone who doesn't understand. Whether people view me in a good or bad light. It all feels uncomfortable  my frustration level is serious right now. In between mood swings  I'm at war with myself. Adult interference makes me even more restless. My current state  the way I talk  my actions. I know I shouldn't be like this. But everything goes the opposite way. I want you to understand me. I don't know what will happen. Again today  I'm barking. Don't talk to me. Whoever I see  I bark  I bite  I rip apart. Don't talk to me. I'm frustrated  so frustrated. Don't bump into me. After I bite  I'll chew and gnaw. Don't bump into me. Frustrated  frustrated  frustrated. Now I can't even sleep. My pillow should be soft but instead of a cushion. It's a mountain of books. I want strength to break apart this situation. But thousands of push ups don't help. I'm just going through some change. Adults who don't understand think I'm a delinquent. They try but they tire me out. I burn them up and eventually  they fail. My current state  the way I talk  my actions. I know I shouldn't be like this. But everything goes the opposite way. I want you to understand me. I don't know what will happen. Again today  I'm barking. Don't talk to me. Whoever I see  I bark  I bite  I rip apart. Don't talk to me. I'm frustrated  so frustrated. Don't bump into me. After I bite  I'll chew and gnaw. Don't bump into me. Frustrated  frustrated  frustrated. We rolling  we rolling. Till I run out of breath. We growling  we growling. We're turning into a monster again. Like a question without an answer. I can't get rid of my anger. My mind is not normal. I know but take it easy on me. This time only comes once in life. Even if I'm annoying. Just close your eyes on me once. How much more do I have to be lost. How much  how much. A million kilometers. Oh my  oh my  what is this . Oh my  oh my. A hundred million kilometers. Frustrated  frustrated  frustrated grrr. 
2,spreadmywings,I didn't wanna seem young. So I just kept changing clothes for no reason. I wanted to be an adult. So I watched the news for no reason. My eyes went from sneakers to dress shoes. Days that used to feel long now feel so short. As soon as the bell rang for break time. I used to run to the food cart. But now  my footsteps are pitiful and trembling. When I finally get my ID card. It'll be hard to hide my joy. All the times I acted like I couldn't act like a kid. As if I'm crooked yet straight. Acting like I'm busy even though I have time. Only my arrogance grew. I'm at the cusp of twenty. I wanna live my age  naturally ey ey. Fly with my young wings  spread my wings ey ey. It was nice when I acted like an adult. But I don't wanna change  even if they say I'm immature. Even if I'm bad at it  I like the word  beginning. It's foolish but i'm still young. It's hard to become an adult now. I'm afraid that the day I become an adult will come. The day I become an adult. I used to be a regular at the stationery store. But now I'm headed towards Garosugil. Rather than stopping at turning my eyes to nice things. There's poison in my eyes now. Acting like an adult  like I'm all grown up. Like I know what everything means. But now that the time is actually near  I don't know what to do. When the new semester started and I gathered all my books. I used to think it's too heavy. And put it down in front of the classroom. Now that I'm an adult. Responsibilities are even heavier. I'm not ready  only filled with worries. I wanna live my age  naturally ey ey. Fly with my young wings  spread my wings ey ey. It was nice when I acted like an adult. But I don't wanna change  even if they say I'm immature. Even if I'm bad at it  I like the word  beginning. It's foolish but i'm still young. It's hard to become an adult now. I'm afraid that the day I become an adult will come. The day I become an adult. I didn't wanna seem young. So I just kept changing clothes for no reason. I wanted to be an adult. So I watched the news for no reason. I won't do that anymore. I wanna live my age  naturally ey ey. Fly with my young wings  spread my wings ey ey. It was nice when I acted like an adult. But I don't wanna change  even if they say I'm immature. Even if I'm bad at it  I like the word  beginning. It's foolish but i'm still young. It's hard to become an adult now. I'm afraid that the day I become an adult will come. The day I become an adult. 
3,yayaya,Stray Kids. Watch out.     . Yaya yaya yaya. Yaya yaya yaya. Yayaya where are you going today . Yayaya what're you gonna do there . You're at the same place as the red carpet stars. The audience is filled with camera men. They all expect you to be careful. You need someone. I said  they the best  that's true  hurry and recruit them. The audience is in awe. When they see your killer stage. They see your stubbornness  your unseen madness. Your quiet endorphins  show me today. Don't be so cautious  like a headache. People suddenly disappearing. People suddenly leaving. But you don't go far away  every day. Hold me  hold my hand tight. Yayaya. You're so cruel in my dreams. Yayaya. When I open my eyes  seems like you'll disappear. Yayaya. I don't care  I wanna go to you and look. Yayaya. Say what. Yayaya. Ya verse  . I'm still afraid of goals with exits I can't see  no. I keep looking but I get lost  I can't believe myself. But still I'm running toward the dream  toward you  run. I can't hide my shaking eyes. All of my passion is out. Pop  pop  pop  pop  pop  popping charms. Dot  dot  dot  dot  put a dot on it. Busy every day  you're busy even today. Don't know where you'll go. You drive everyone crazy. It's been long since I've gone crazy  no expiration date. Your value is worth a national treasure. People suddenly disappearing. People suddenly leaving. But you don't go far away  every day. Hold me  hold my hand tight. Yayaya. You're so cruel in my dreams. Yayaya. When I open my eyes  seems like you'll disappear. Yayaya. I don't care  I wanna go to you and look. Yayaya. Say what. Yayaya. Who cares. I know I'm not good enough to have you. Who cares. I'm at an age to get lost in confidence. I'm not afraid of anything. That's a given. Can't nobody else do it like you. Baby baby ah. This is probably my greed. But I hope you'll hear this  watch over me till the end. I'm all ready. Every time I sleep  I think of being   . Skipping over everyone else. Whenever I wanted to run away out of frustration. You taught me one thing  there's no way. Yayaya. You're so cruel in my dreams. Yayaya. When I open my eyes  seems like you'll disappear. Yayaya. I don't care  I wanna go to you and look. Yayaya. Say what. Yayaya. One more time. Yayaya. You're so cruel in my dreams. Yayaya. When I open my eyes  seems like you'll disappear. Yayaya. I don't care  I wanna go to you and look. Yayaya. Say what. Yayaya. Say what. Yayaya. 
4,glow,We can rest but it's still too early. We need to rest but it's still so far away. The path we must go on. Even though we can't see the end  we must go to the end. On this path without a map. It's a maze  don't wanna look back. Only looking forward as we run. Shining through the darkness. Deng deng deng. Why is an alarm ringing at this time. It's time to get up  you need to get up. Feels like I just fell asleep  I just slept. I looked in the mirror  I look like a mess. We couldn't even dry our hair and left. It's a nice day but we're cool kids. Looking like we got rained on. Anyone can see we're one family  all afraid of being late. Everyone's busy running  but one fell down. Thankfully  only a small cut on his knee. No problem in dancing  even if there is  hold it in. If you're sleepy  cheat a little  slightly close your eyes. Practice goes harder once night comes. The maknae is whining  it's sad but we're hitting him hard. We wanna do my thing. Now the words  do nothing. Warns us and it stops us for a moment. Don't know any other way. Only looked at one place for a long time. So where do you want me to go . Look at the night sky  look at the stars. It's like us  shining brighter in the darkness. Going to work in the morning  coming back the next morning. After two or three hours of sleep with the hyung behind me. I go to work. Even if the fluttering feeling. Of my first day disappeared. My passion still overflows  hope it reaches you through this rap. Everyone's still busy running. But one fell down. Now instead of a small scar  emptiness remains. Days of silence flow. And then we all practice again. What will be the result of our practice . Asking this to ourselves in the studio mirror every day. Like a test error  seems like there's two answers. Top or the bottom  I don't know where we'll go. So much pressure behind the word debut. I can't handle this dream sometimes even though my future is dark. The lights in the studio shine brighter. The lights in my eyes turn on too. So I can find paths that weren't there before. Don't know any other way. Only looked at one place for a long time. So where do you want me to go . Look at the night sky  look at the stars. It's like us  shining brighter in the darkness. We can rest but it's still too early. We need to rest but it's still so far away. The path we must go on. Even though we can't see the end  we must go to the end. On this path without a map. It's a maze  don't wanna look back. Only looking forward as we run. Shining through the darkness. Don't know any other way  Imma get it. For a long time  gotta go. Only looked at one place for a long time. So where do you want me to go . Yeah  this is my last time  I won't give up. Look at the night sky  Imma show it. Look at the bright stars  gotta glow. It's like us  shining brighter in the darkness. 
5,schoollife,Nana nanananananana. Nana nana.  AM  the alarm goes off. The sunshine coming through the window. Mom nags at me to get up. Sounds like the mosquitoes on a summer night. My school uniform is wrinkled like my PJs. Wearing normal clothes inside  double layer. I wanted to sleep so I figured out. How to sleep while walking to school. Talking kid  reading kid. Taking care of his bangs and playing on his phone kid. As soon as the bell rings. The teacher scolds the sleeping kids. Teacher  you've been our age before. Why act like you don't know . Why you keep saying stuff . We kept complaining but only I'm getting mad. School bell goes ring ring ring. Feels the same every day  so sick of this. School life  again today. Wishing tomorrow would be a little different. School life  again today. Nana nanananananana. Nana nana. Again today. Nana nanananananana. Nana nana. Again today. Math class  battling with numbers again. The numbers that make me flutter. Are between    and  . Whether I have a dream or not  as if I'm an athlete. I run to the snack cart. No need to worry  throw em all away yeah. After school studies  school. My days are filled with studying  so annoying. It's not like I don't have dreams. But I'm always so small in front of grades. I can't do what I want. When I look in the mirror. So please stop. Send away your free spirit. School bell goes ring ring ring. Feels the same every day  so sick of this. School life  again today. Wishing tomorrow would be a little different. School life  again today. Nana nanananananana. Nana nana. Again today. Nana nanananananana. Nana nana. Again today. Again today. Feels the same every day  so sick of this. Wishing tomorrow would be a little different. School life  again today. Nana nanananananana. Nana nana. Again today. Nana nanananananana. Nana nana. Again today. Feels the same every day  so sick of this. School life  again today. Wishing tomorrow would be a little different. School life  again today. Again today. Again today. 
6,4419,How are you doing . Your spot next to me feels so empty. I try pushing back the unforgettable days. But I wonder how you're doing. I'm sitting at. The back of the bus  where we used to sit. Humming as I remember. The memories with you. I still remember the day I first met you. I remember we were almost the same height. We were the same age and we got so close. I know I still wanted to go to the end with you. Memories of fighting against each other. My friend  who comforted and helped me. I'll find my dreams  buy my ticket. Get to the station of debuts and cheer for you. How are you doing these days . It's fall soon  the leaves are falling. When you left  it was the hot summer. But your spot is empty like the winter. We're in different places with the same dream. Some day  we'll meet again in the same place. I keep thinking about our memories. In this small vocal room where we fought and talked a lot. How are you doing . Your spot next to me feels so empty. I try pushing back the unforgettable days. But I wonder how you're doing. I'm sitting at. The back of the bus  where we used to sit. Humming as I remember. The memories with you. Recently  I got to know a lot of people. It's been a while since I adjusted to this new place. I think I grew up a lot. I used to be afraid to go to the academies alone. So I begged mom for us to go together. But now I can go to Seoul alone. It's cool  I buy my own clothes now. We used to bond over comic books. But continuing to find that common interest as we grow up. Is an unrealistic comic  yeah. How are you doing . Your spot next to me feels so empty. I try pushing back the unforgettable days. But I wonder how you're doing. I'm sitting at. The back of the bus  where we used to sit. Humming as I remember. The memories with you. Thank you my friend  I won't forget you. I'll cherish all the moments with you. Thank you my friend  I won't forget you. Let's meet again in the same place. Trying to stop time to relive our memories. How are you doing . Your spot next to me feels so empty. I try pushing back the unforgettable days. But I wonder how you're doing. I'm sitting at. The back of the bus  where we used to sit. Deeply engraving our memories. In my heart. Thanks my friend. 
7,not,They say people are born different. But why does it feel like we're all the same. Us brainwashed into the same system. They expect perfection. So how can we be different. It wasn't until I saw my reflection. That's when I woke up and realized. That the truth had been hidden away from us. A sign  an omen  a  a GLITCH. Why is this suspicious world confusing me . Endless worries linger in my head. I feel even more trapped. Where am I  Who am I  I am not myself. I look at myself. But I realize I'm not myself. At that moment  I woke up. I'm not me. Why was I asleep for all this time . I'm not me. I need to wake up and escape now. From this place  where am I  A temple in my head. My house  it deceives me  I need to break this tempo. I'm trying to find something that's so vague. The more I slowly close my eyes  the clearer the light gets. Will I see myself in the darkness  I'm opening my eyes now. 
8,district9,Talk talk  people talk too much. What what  saying nonsense. All the nagging and cursing  please stop. Whether I do well or not  I'll take care of myself. Actually  I don't know myself. It's frustrating  I'm always worrying. Answer me. Give me an answer  a clear answer please. If you can't then please stop interfering. This is our jungle. In here  we move according to our own rules. My district  District  . Flip it all over  eh oh. Flip it over  now eh oh. Put away your negativity  back off. That's wrong. I don't even know myself. So why are you acting like you know me. Get lost  this is our district  get outta here. No place for you here. District  . Oh oh. Better watch out. Oh oh. Cause it's dangerous. Oh oh. Better watch out. This is our district  District  . Stray kids everywhere all around the world. Don't wander around  come find us here. Stray kids everywhere all around the world. The sound of their footsteps get louder and louder. When others see us  we're a bunch of delinquents. Changing that view. Isn't an easy solution. But we can't lose energy. Cause of the misunderstandings and bias. Our duty is to prove who we really are. They say  you're different from us so please leave. Fine but know this. Being different isn't being wrong. Soon  the time will come when people will get jealous. Our place is a district where a small light shines greatly on. Starting with   and in the end  it'll be everyone's refuge. Flip it all over  eh oh. Flip it over  now eh oh. Put away your negativity  back off. That's wrong. I don't even know myself. So why are you acting like you know me. Get lost  this is our district  get outta here. No place for you here. District  . In front of the mirror  freeze ey. Drenched with sweat ey. So please  close your mouth and shh. I'm finding my true self. The studio floor is red with our blood sweat. We ran like crazy  all night. But in the end  we're just clowns in front of frowning faces. No answer so we're just gonna protect our space. Flip it all over  eh oh. Flip it over  now eh oh. Put away your negativity  back off. That's wrong. I don't even know myself. So why are you acting like you know me. Get lost  this is our district  get outta here. No place for you here. District  . Oh oh. Better watch out. Oh oh. Cause it's dangerous. Oh oh. Better watch out. This is our district  District  . 
9,mirror,Where am I. Who am I. I am not me. When did it start  This problem that can't be solved. Who am I  It's homework that no one ever assigned me. Before I could memorize the formulas that materialized before me. I had no chance to decide on what answer to give. Without even knowing where I'm going  I'm just running. Cautious of the mirrors next to me. I'm just following. If I say it's because I'm still young. I think I'll get even more lost once I grow up. My confusion overlapping as I run  I keep pondering. Trapped in confusion  I still don't know myself. Do you know  Asking me  who doesn't have any answers. You make me cry  hold my hand. I'm in front of you  you're looking at me. Reflected in the mirror  I'm a maze. My insides are reflected in my mirror  no. Where can I find it . For once I wish I could see myself. I keep looking for it. I'm not me  who are you . I'm so different from the me I used to know. So many things I don't know  my dreams are only second. I don't even know how I feel so only tears well up. Every day  the situation ends. With either a question mark or three dots. I don't feel like myself but then I do. My heart is lost and the answer is hiding itself. I'm only looking for it. I can't touch it  my question is growing  but there's no answer. Trapped in confusion  I still don't know myself. Do you know  Asking me  who doesn't have any answers. You make me cry  hold my hand. I'm in front of you  you're looking at me. Reflected in the mirror  I'm a maze. My insides are reflected in my mirror  no. Where can I find it . For once I wish I could see myself. I keep looking for it.  I don't even know who I am. I just did as I was told in the memories. What is the path I must go on . Don't ask  just run first.  I don't even know who I am. I just did as I was told in the memories. What is the path I must go on . Don't ask  just run first. Who am I  I'm looking at myself but I can't figure it out. I am not  maybe I need to find a different mirror. How much more do I have to wander. Until I can look at myself and smile . What you want. What you want a mirror for myself. Reflected in the mirror  I'm a maze. My insides are reflected in my mirror  no. Where can I find it . For once I wish I could see myself. I keep looking for it.  I don't even know who I am. I just did as I was told in the memories. What is the path I must go on . Don't ask  just run first.  I don't even know who I am. I just did as I was told in the memories. What is the path I must go on . Don't ask  just run first. 
