,songid,artist,title,releasedate,album,cleaned_title
0,1,"아르마딜로 (Armadillo), BANG CHAN, CHANGBIN, HAN (Stray Kids), 랑가 (Rangga)",hellevator,11/1/2017,Mixtape,hellevator
1,2,"CHANGBIN, FELIX (Stray Kids), LEE KNOW, BANG CHAN, This N That",GLOW,1/8/2018,Mixtape,glow
2,3,"원택 (1Take) (KOR), Trippy (트리피), HAN (Stray Kids), CHANGBIN, BANG CHAN",grrrlawoftotalmadnessgrrr,1/8/2018,Mixtape,grrrlawoftotalmadnessgrrr
3,4,"HAN (Stray Kids), CHANGBIN, BANG CHAN, ​earattack",YAYAYA,1/8/2018,Mixtape,yayaya
4,5,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피)",어린 날개 (Spread My Wings),1/8/2018,Mixtape,spreadmywings
5,6,"HAN (Stray Kids), CHANGBIN, BANG CHAN, SEUNGMIN, HYUNJIN",4419,1/8/2018,Mixtape,4419
6,7,"HAN (Stray Kids), KIM WOOJIN (김우진), BANG CHAN, CHANGBIN, Brandon P. Lowry, I.N, Tobias Karlsson, Matthew Engst, This N That, Sangmi Kim",SCHOOL LIFE,1/8/2018,Mixtape,schoollife
7,8,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​collapsedone, Fredrik “Fredro” Ödesjö",Mirror,3/26/2018,I am NOT,mirror
8,9,"BANG CHAN, 홍지상 (Hong Ji Sang)",NOT!,3/26/2018,I am NOT,not
9,10,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 김박첼라 (Kim Park Chella)",Awaken,3/26/2018,I am NOT,awaken
10,11,"BANG CHAN, KIM WOOJIN (김우진), CHANGBIN, HAN (Stray Kids), LEE KNOW, HYUNJIN, FELIX (Stray Kids), SEUNGMIN, I.N",Mixtape #1,3/26/2018,I am NOT,mixtape1
11,12,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 영광의 얼굴들 (Glory Face)",Rock (돌),3/26/2018,I am NOT,rockdol
12,13,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피)",잘 하고 있어 (Grow Up),3/26/2018,I am NOT,growupjalhagoisseo
13,14,"BANG CHAN, CHANGBIN, HAN (Stray Kids), This N That",3rd Eye,3/26/2018,I am NOT,3rdeye
14,15,"Trippy (트리피), HAN (Stray Kids), CHANGBIN, BANG CHAN",District 9,3/26/2018,I am NOT,district9
15,16,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 김몽이 (Kim Mong I)",M.I.A,8/6/2018,I am WHO,mia
16,17,"BANG CHAN, CHANGBIN, HAN (Stray Kids), HotSauce",QUESTION,8/6/2018,I am WHO,question
17,18,"BANG CHAN, CHANGBIN, HAN (Stray Kids), TIME (KOR)",갑자기 분위기 싸해질 필요 없잖아요 (Awkward Silence),8/6/2018,I am WHO,awkwardsilence
18,19,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​earattack, Larmòók",My Pace,8/6/2018,I am WHO,mypace
19,20,"BANG CHAN, KIM WOOJIN (김우진), LEE KNOW, CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids), SEUNGMIN, I.N",Mixtape #2,8/6/2018,I am WHO,mixtape2
20,21,"K​Z, SPACE ONE (KOR), BANG CHAN, CHANGBIN, HAN (Stray Kids)",불면증 (Insomnia),8/6/2018,I am WHO,insomnia
21,22,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피)",VOICES,8/6/2018,I am WHO,voices
22,23,"HAN (Stray Kids), FELIX (Stray Kids), KIM WOOJIN (김우진)",WHO?,8/6/2018,I am WHO,who
23,24,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​collapsedone, K​Z, J-Hype, ZENE THE ZILLA (제네 더 질라)",I am YOU,10/22/2018,I am YOU,iamyou
24,25,"BANG CHAN, KIM WOOJIN (김우진), LEE KNOW, CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids), SEUNGMIN, I.N",Mixtape #3,10/22/2018,I am YOU,mixtape3
25,26,"BANG CHAN, CHANGBIN, HAN (Stray Kids), FRANTS",편 (My Side),10/22/2018,I am YOU,myside
26,27,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 이해솔 (Lee Hae Sol)",해장국 (Hero’s Soup),10/22/2018,I am YOU,herossoup
27,28,"BANG CHAN, CHANGBIN, HAN (Stray Kids), SLO (슬로)",극과 극 N/S,10/22/2018,I am YOU,ns
28,29,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 홍지상 (Hong Ji Sang)",325,10/22/2018,I am YOU,325
29,30,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Inner Child (이너차일드), 윤종성 (Yoon Jong Sung), 송하은 (Song Ha Eun), TOTEM",Get Cool,10/22/2018,I am YOU,getcool
30,31,"CHANGBIN, HYUNJIN, I.N, 홍지상 (Hong Ji Sang)",YOU.,10/22/2018,I am YOU,you
31,32,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Brian Atwood",MIROH,3/25/2019,Clé 1 : MIROH,miroh
32,33,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 영광의 얼굴들 (Glory Face), Jake K",Boxer,3/25/2019,Clé 1 : MIROH,boxer
33,34,"HAN (Stray Kids), BANG CHAN",19,3/25/2019,Clé 1 : MIROH,19
34,35,,Entrance,3/25/2019,Clé 1 : MIROH,entrance
35,36,"BANG CHAN, CHANGBIN, HAN (Stray Kids), J;KEY (제이키) (KOR)",잠깐의 고요 (Maze of Memories),3/25/2019,Clé 1 : MIROH,mazeofmemories
36,37,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​earattack, Larmòók",승전가 (Victory Song),3/25/2019,Clé 1 : MIROH,victorysong
37,38,"BANG CHAN, CHANGBIN, HAN (Stray Kids), KAIROS, SamUIL",Chronosaurus,3/25/2019,Clé 1 : MIROH,chronosaurus
38,39,"BANG CHAN, KIM WOOJIN (김우진), LEE KNOW, CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids), SEUNGMIN, I.N",Mixtape #4,3/25/2019,Clé 1 : MIROH,mixtape4
39,40,"BANG CHAN, CHANGBIN, HAN (Stray Kids), TAK (탁), 원택 (1Take) (KOR)",부작용 (Side Effects),6/19/2019,Clé 2 : Yellow Wood,sideeffects
40,41,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Matthew Tishler, Andrew Underberg, Crash Cove",밟힌 적 없는 길 (Road Not Taken),6/19/2019,Clé 2 : Yellow Wood,roadnottaken
41,42,"BANG CHAN, CHANGBIN, HAN (Stray Kids), TIME (KOR), GRVVITY",별생각 (TMT),6/19/2019,Clé 2 : Yellow Wood,tmt
42,43,,FANCY (Cover),6/28/2019,<single>,fancycover
43,44,"HAN (Stray Kids), BANG CHAN, CHANGBIN",Double Knot,10/9/2019,<single>,doubleknot
44,45,,끝나지 않을 이야기 (Neverending Story) (Instrumental),11/7/2019,어쩌다 발견한 하루 (Extraordinary You) OST Part 7,neverendingstoryinstrumental
45,46,"Park Se Jun (박세준), TAIBIAN (타이비언), CHANGBIN",끝나지 않을 이야기 (Neverending Story),11/7/2019,어쩌다 발견한 하루 (Extraordinary You) OST Part 7,neverendingstory
46,47,"BANG CHAN, HAN (Stray Kids), CHANGBIN",Astronaut,11/13/2019,Clé : LEVANTER,astronaut
47,48,J.Y. Park,Again & Again (Cover),12/7/2019,<single>,againagaincover
48,49,HAN (Stray Kids),Sunshine,12/9/2019,Clé : LEVANTER,sunshine
49,50,"HAN (Stray Kids), CHANGBIN, BANG CHAN",STOP,12/9/2019,Clé : LEVANTER,stop
50,51,"3RACHA, HAN (Stray Kids), BANG CHAN, CHANGBIN",You Can Stay,12/9/2019,Clé : LEVANTER,youcanstay
51,52,"HAN (Stray Kids), BANG CHAN, CHANGBIN",Booster,12/9/2019,Clé : LEVANTER,booster
52,53,"HYUNJIN, I.N, SEUNGMIN, FELIX (Stray Kids), LEE KNOW, BANG CHAN, HAN (Stray Kids), CHANGBIN, Stray Kids",Mixtape #5,12/9/2019,Clé : LEVANTER,mixtape5
