,song,lyrics
0,hellevator,  내 삶은 밑바닥 낭떠러지 어두운 터널 속을 걷고 있어 내게 잔인하고 두려운 하루를 홀로 버티고 있어  멀러져 가는 교실복도 낯선 길 위에 지지리도 복도 없지 내가 맞는 길을 가는가에 답 할 지도도 하나 없이 위로 가는 길은 절대 다신 뒤로 가기 싫은 막막한 미로야 피눈물 대신 피땀 흘리며 나를 위로해  사람들은 내게 말해 그 정도의 고비는 지나가는 소나기라고 성공을 낚으려면 두려워도 실패라는 덫을 깔라고 그래 나는 고통이란 미끼를 덥석 문채 방황하는 거야 지친 열정의 날개를 잠시 접어둔 채  내 삶은 밑바닥 낭떠러지 어두운 터널 속을 걷고 있어 내게 잔인하고 두려운 하루를 홀로 버티고 있어 손을 내 밀어도 날 잡아줄 사람은 아무도 없어 내 아픔 내 눈물을 타고 위로 빠져나가고 있어  im on a hellevator my hellevator im on a hellevator my hellevator im on a hellevator  아무것도 없어 날 위한 손길은 걱정 하나 없이 차가운 말들뿐 엉터리 꿈은 좀 접어 포기란 말들이 내 귀를 때려가며 절망감만 커져가 희망이란 하늘을 주변 사람의 손으로 가린다  날 살려 기도하며 버티고 있어 날 째려보는 따가운 시선들에 실성하지 하네 마네 잘 되어 봤자 누군가의 광대 로 밖에 안 남을 넌 가수라는 직업은 집어 쳐 그 말을 들으며 약해져만 가는 내 자신을 밀쳐 더  내 삶은 밑바닥 낭떠러지 어두운 터널 속을 걷고 있어 내게 잔인하고 두려운 하루를 홀로 버티고 있어 손을 내 밀어도 날 잡아줄 사람은 아무도 없어 내 아픔 내 눈물을 타고 위로 빠져나가고 있어  im on a hellevator my hellevator im on a hellevator my hellevator im on a hellevator  찾아내 출구는 어디에 어둠 속에 갇혀있던 나를 끌어내 좀 더 발악해 이곳을 run away im on the hellevator 난 올라갈게 어두웠던 내 과거 탈출해 내 깜깜했던 앞길을 비춰 미쳐버릴 듯 지겨운 시간 잊혀져 버릴 듯 이 길을 뛰어 외면하던 새로운 시작의 종소리가 울리며 나는 올라탔지 내 손을 잡고 펜트하우스로 데려다 줄 my hellevator  im on a hellevator my hellevator im on a hellevator  
1,grrrlawoftotalmadnessgrrr,  총량의 법칙  grrr 정신은 지저분해 난폭한 개마냥 누구 앞에 서 있든지 상관 않고 짖어 분해 이해 못 해주는 이해심은 처분해 나를 향한 시선들이 좋든 안 좋든 다 따갑게 느껴지고 답답함 지금 감정 기복 사이 나 자신과의 전쟁 중 어른들의 개입에 더 싱숭생숭  나의 상태 말투 행동 이러면 안 된단 걸 알아도 모두 반대가 돼 i want you to understand me 무슨 일이 생길지 몰라 오늘도 나는 짖어  말 붙이지마 누굴 봐도 짖어 물어뜯어 찢어 찢어 말 붙이지마 답답해 다 답답해 마주치지마 물고 나면 질겨 씹어봐라 질겅질겅 마주치지 마 답답해 다 답답해 답답해  이젠 잠도 편히 못 자겠어 언제부터 푹신해야 할 베개가 쿠션 아닌 책 더미가 됐는지 난 이 상황을 부셔 버릴 힘을 원해 수만 번의 푸쉬업도 소용없지 난 그저 변해가는 과정일 뿐 이해 못 하는 어른들의 눈엔 날 피곤하게 하는 그들에 시도 앞에 목타네 속 타게한 그들은 다 폭망해  나의 상태 말투 행동 이러면 안 된단 걸 알아도 모두 반대가 돼 i want you to understand me 무슨 일이 생길지 몰라 오늘도 나는 짖어  말 붙이지 마 누굴 봐도 짖어 물어 뜯어 찢어 찢어 말 붙이지 마 답답해 다 답답해 마주치지 마 물고 나면 질겨 씹어봐라 질겅질겅 마주치지 마 답답해 다 답답해 답답해  we rolling we rolling 숨이 턱 끝까지 차오를 때까지 we growling we growling 우린 변해가지 다시 괴물같이  난 답이 없는 문제처럼 내 화는 못 풀어 내 정신은 정상이 아닌 걸 나도 알긴 알아도 다 참아줘 인생에 한 번뿐인 이 시간에 내가 좀 짜증 내더라도 눈 한번 딱 감아줘  얼마나 얼마나 헤매야 돼 얼마나 얼마나 백만 킬로 어머나 어머나 이건 뭔데 어머나 어머나 천만 킬로  답해 다 답해 답답해 grrr  
2,spreadmywings,  어리게 보이기 싫어서 괜히 짓궂은 옷만 계속 바꿔 입고 어른스럽고만 싶어서 괜히 안 보던 뉴스를 다 보고  운동화에서 더 좋은 구두로 눈길을 돌려 마냥 길었던 하루가 요새는 뭔가 짧게 느껴져 학교 쉬는 시간 종이 치자마자 매점으로 달려갔던 내 발걸음은 점점 초조해지고 떨리고 있어  내가 민증을 받게 되면 기쁜 마음을 감추기 바쁠듯해 그동안 못해 어린 티를 못 내는 척 삐뚤어진 듯 반듯해 시간이 있어도 바쁜 척 허세만 늘어가고 스무 살이라는 나이는 바로 내 문턱 앞에 있어  내 나이대로 살래 naturally ey ey 어린 날개로 날래 spread my wings ey ey 어른인 척 할 때가 좋은듯해 안 변할래 철부지 같다는 말 듣는데도  뭐든 서툴지만 처음이란 단어가 좋아 어리숙하지만 이대로만 아직 어린 난 지금은 어려워 어른이 된단 말 올까 봐 두려워 어른이 되는 날  문방구의 단골 손님 이젠 발길은 가로수길 더 좋은 것에 눈 돌리는 거에 그치지 않고 눈독을 들여 이렇듯 어른인 척 다 큰 척 다른 의미의 척척박사가 되었지만 막상 눈앞에 다가오니 표정이 벙쪄  새 학기 시작 전에 책 다 챙겼을 때 것도 무겁다며 반 앞 소화전에다 내려 놨었는데 어른이 된 후 짊어져야 하는 건 몇 배 더 무거운 책임 준비 안 된 난 걱정이 백임  내 나이대로 살래 naturally ey ey 어린 날개로 날래 spread my wings ey ey 어른인 척할 때가 좋은듯해 안 변할래 철부지 같다는 말 듣는데도  뭐든 서툴지만 처음이란 단어가 좋아 어리숙하지만 이대로만 아직 어린 난 지금은 어려워 어른이 된단 말 올까 봐 두려워 어른이 되는 날  어리게 보이기 싫어서 괜히 옷만 계속 바꿔 입고 어른스럽고만 싶어서 안 보던 뉴스를 다 보고 이젠 안 해  내 나이대로 살래 naturally eh eh 어린 날개로 날래 spread my wings eh eh 어른인 척할 때가 좋은듯해 안 변할래 철부지 같다는 말 듣는데도  뭐든 서툴지만 처음이란 단어가 좋아 어리숙하지만 이대로만 아직 어린 난 지금은 어려워 어른이 된단 말 올까 봐 두려워 어른이 되는 날  
3,yayaya,  stray kids watch out 2018  야야 야야 야야 야야 야야 야야  야야야 오늘은 또 어디 가니 ey 야야야 거기 가서 뭐할 거니 ey 넌 레드카펫 위에 있는 스타와 같은 위치 관객은 카메라맨 다들 전부 조심하길 바라니까  누가 필요해 i said they the best thats true 빨리 섭외해 관객들은 모두 감탄해 네가 박살 냈던 무대들을 볼 때 감상해 너의 고집 보지 못한 너의 똘끼 소식 없던 네 앤돌핀 오늘 숨김없이 show me 조심 없지 마치 골칫거리  oh 어느 순간 사라지네 oh 갑자기 떠나가네 넌 멀어지지마 everyday 붙잡아줘 내 손을 꼭 붙잡아줘  야야야 내 꿈속에서 너는 잔인한 것 같아 야야야 눈뜨면 내 앞의 너는 사라질 것 같아 야야야 난 상관없어 네게 들이대고 볼래 야야야 say what 야야야 야 verse 2  난 아직 두려워 출구가 안 보이는 목표가 no 계속 봐와도 방황해 난 믿지 못해 더는 나라도 그래도 다 달려들어 그 꿈 너를 향해 run 흔들리는 동공을 감추지 못해 내 열정을 모두 분출  pop pop pop pop pop 통통 튀는 매력 dot dot dot dot 당장 점 찍어놔 바빠 매일 바빠 빠지는 게 하나 없는 넌 오늘도 바빠 어디로 튈지 몰라 넌 ey 누구든 미치게 하잖아 ey 미친 지 오래 유통기한 없네 소장가친 national treasure ey  oh 어느 순간 사라지네 oh 갑자기 떠나가네 넌 멀어지지마 everyday 붙잡아줘 내 손을 꼭 붙잡아줘  야야야 내 꿈속에서 너는 잔인한 것 같아 야야야 눈뜨면 내 앞의 너는 사라질 것 같아 야야야 난 상관없어 네게 들이대고 볼래 야야야 say what 야야야  뭐 어때 woo 널 갖기엔 아직 부족하지만 뭐 어때 woo 자신감 속에서 안 방황할 나이 어떤 것도 두렵지 않아 이건 뭐 당연하잖아 cant nobody else do it like you baby baby ah  아마 이건 내 욕심이지만 네가 이걸 듣길 날 끝까지 지켜봐 줘 난 돼있어 모든 준비 잘 때마다 1위 생각해 또 다른 놈들은 다 생략해 답답하다고 도망을 치는 내게 네가 하나 알려줬어 출구 없어 no way  야야야 내 꿈속에서 너는 잔인한 것 같아 야야야 눈뜨면 내 앞의 너는 사라질 것 같아 야야야 난 상관없어 네게 들이대고 볼래 야야야 say what 야야야 one more time  야야야 내 꿈속에서 너는 잔인한 것 같아 야야야 눈뜨면 내 앞의 너는 사라질 것 같아 야야야 난 상관없어 네게 들이대고 볼래 야야야 say what 야야야 say what 야야야  
4,glow,  쉬어도 되지만 아직 일러 쉬어야 하지만 아직 멀어 우리가 가야 할 길 끝이 안 보여도 끝을 봐야 맞지 지도 하나 없이 위로 가는 길은 뒤도 돌아보기 싫은 미로 앞만 보고 달려 어둠 속을 환히 밝혀  댕댕댕 이 시간에 뭔 알람이 울려 얘얘얘 일어나야 할 시간 다 됐어 깨야 돼 방금 잔 것 같은데 진짜 방금 잤네 거울 보니 폐인 다됐네  머리도 못 말리고 나온 우리 저 멀리 화창한 날씨에 비 맞은 머리로 보이는 멋쟁이들 누가 봐도 한 식구지 지각엔 하나같이 겁쟁이들  뛰기에 다들 바빠 꼭 한 명이 뛰다 자빠지더라 다행히 무릎 위 작은 상처만 남아 춤추는 데 지장 없어 있다 해도 참아 졸음이 쏟아지면 반칙해 실눈 감아 잠을 잡아  연습은 오늘도 밤이 되면 더 빡 세게 막내 조는데 안쓰럽지만 딱밤 세게 we wanna do my thing 이제는 do nothing이라는 문구가 경고해서 잠시 말려주길 ey  딴 길은 몰라 나 오랫동안 한 곳만 바라보며 달려왔는데 어딜 가란 거야 밤하늘을 봐 환한 저 별들을 봐 어두울 때 더 빛나는 우리 모습 같아  아침에 출근해 하루 지난 아침에 퇴근해 뒤에 서 있는 형과 두 세시간 잔 후 출근해 두근대던 처음 왔던 때 설렘은 사라졌대도 열정은 여전히 넘쳐나 이 랩으로 전해  여전히 다 뛰기 바빠 근데 한 명이 뛰다 빠지더라 이번엔 작은 상처대신 공허함이 남더라 ey 며칠의 정적이 흐르고 다시 멀쩡하게 연습을 시작해  우리의 연습 결과가 어떨 지의 문제 연습실의 거울을 보면서 매일 묻네 오류 난 시험문제 답은 두 개인듯해 정상 아님 나락 둘 중 어디 가늠 못 해  데뷔라는 단어 큰 압박감에도 이 꿈은 주체 못 해 내 앞이 까매도 그럴수록 더 밝게 연습실의 불을 켜 동시에 눈에 불을 켜 없던 길도 찾게  딴 길은 몰라 나 오랫동안 한 곳만 바라보며 달려왔는데 어딜 가란 거야 밤하늘을 봐 환한 저 별들을 봐 어두울 때 더 빛나는 우리 모습 같아  쉬어도 되지만 아직 일러 쉬어야 하지만 아직 멀어 우리가 가야 할 길 끝이 안 보여도 끝을 봐야 맞지 지도 하나 없이 위로 가는 길은 뒤도 돌아보기 싫은 미로 앞만 보고 달려 어둠 속을 환히 밝혀  딴 길은 몰라 imma get it 나 오랫동안 gotta go 한 곳만 바라보며 달려왔는데 어딜 가란 거야 yeah this is my last time 난 포기하지 않아 밤 하늘을 봐 imma show it 환한 저 별들을 봐 gotta glow 어두울 때 더 빛나는 우리 모습 같아  
5,schoollife,  나나 나나나나나나나 나나 나나  아침 7시 알람이 댕 창문 사이 햇빛은 쨍 일어나란 엄마의 잔소리는 마치 한여름 밤 모깃소리 교복을 마치 잠옷인 듯 구겨 그 안에는 사복까지 두 겹 잠자고 싶어 등굣길에 알아냈지 걸으며 잠자는 법  떠드는 애 책 보는 애 앞머리 관리 폰 게임 하는 애 수업 종 땡 치자마자 선생님은 자는 애들 잔소리해  아 쌤 우리 나이 겪어봤으면서 왜 모르는 척해 아 왜 자꾸 뭐라 해 불평 늘어봤자 나만 열 받지 학교 종소리가 땡땡땡  매일 똑같은 느낌이 들어 oh 지겨워 school life 오늘도 난 내일은 좀 다를 거라 믿고 싶은걸 school life 오늘도 난  나나 나나나나나나나 나나 나나 오늘도 난 나나 나나나나나나나 나나 나나 오늘도 난  수학 시간 지겨운 숫자들과의 시비는 일상 그 중에 날 설레게 하는 숫자는 시침이 가리키는 12와 1 사이 꿈이 있든 없든 운동선수라도 된 듯 급식실로 향해서 전력 질주해 고민 따윈 던져 돌직구 yeah 학원 학교 하루 일상 공부 공부만 하니 짜증나 꿈도 없는 게 아냐 성적순 앞에 언제나 작은 나  원하는 건 절대 못해 거울 앞에 나를 볼 때 제발 그만해 자유로운 영혼은 멀리 후퇴 학교 종소리가 땡땡땡  매일 똑같은 느낌이 들어 oh 지겨워 school life 오늘도 난 내일은 좀 다를 거라 믿고 싶은걸 school life 오늘도 난  나나 나나나나나나나 나나 나나 오늘도 난 나나 나나나나나나나 나나 나나 오늘도 난  오늘도 난  매일 똑같은 느낌이 들어 oh 지겨워 내일은 좀 다를 거라 믿고 싶은걸 school life 오늘도 난  나나 나나나나나나나 나나 나나 오늘도 난 나나 나나나나나나나 나나 나나 오늘도 난  매일 똑같은 느낌이 들어 oh 지겨워 school life 오늘도 난 내일은 좀 다를 거라 믿고 싶은걸 school life 오늘도 난  오늘도 난 오늘도 난  
6,4419,  너는 어떻게 지내 텅 빈 내 옆자리는 허전해 잊을 수 없는 날들 뒤로해도 그저 안부 인사라도 우리 자주 앉았던 버스 맨 뒷자리에 앉아도 너와 함께했던 추억들을 떠올리며 흥얼거려  널 처음 봤던 날 난 아직 기억해 나랑 키 차이가 안 났던 기억 또렷해 동갑인 친구로 우린 친해지고 끝까지 가고 싶었던 마음은 확실해  서로서로 싸웠던 추억들 위로 위로 날 도와줬던 친구는 자기의 꿈을 찾아 표를 빨리 끊고 데뷔라는 정류장에 도착해 응원할게  요즘은 어때 잘 지내 곧 가을이고 낙엽들이 쌓이네 네가 떠났을 땐 더운 여름이었는데 너의 자린 벌써 겨울인 듯 허전해  서로 다른 곳에서 같은 꿈을 난 꾸는 중 언젠간 또 같은 곳에서 다시 만나는 꿈 꾸고 있어 너와의 추억을 되새기는 중 많이 다투고 얘길 나눴던 작은 vocal room  너는 어떻게 지내 텅 빈 내 옆자리는 허전해 잊을 수 없는 날들 뒤로해도 그저 안부 인사라도 우리 자주 앉았던 버스 맨 뒷자리에 앉아도 너와 함께했던 추억들을 떠올리며 흥얼거려  최근에 난 많은 사람 알게 됐어 새로운 환경에도 적응된 지는 꽤 됐어 이젠 많이 컸나 봐 그저 학원 하나 혼자 다니기 무서워 엄말 졸라 언제나 같이 다녔는데 이젠 혼자 서울 가는 것도 가능해 멋져 내 옷도 사 서로 공감대가 만화였는데 커가며 공감되는 길을 걷는 건 비현실적인 만화 yeah  너는 어떻게 지내 텅 빈 내 옆자리는 허전해 잊을 수 없는 날들 뒤로해도 그저 안부 인사라도 우리 자주 앉았던 버스 맨 뒷자리에 앉아도 너와 함께했던 추억들을 떠올리며 흥얼거려  thank you my friend 잊지 않을게 너와 있던 순간들 모두 담아둘게 thank you my friend 잊지 않을게 똑같은 곳에서 다시 만나길 시간을 멈춰서 너와의 추억을 다시  너는 어떻게 지내 텅 빈 내 옆자리는 허전해 잊을 수 없는 날들 뒤로해도 그저 안부 인사라도 우리 자주 앉았던 버스 맨 뒷자리에 앉아도 너와 함께했던 추억들을 가슴 깊이 새겨 thanks my friend  
7,not,  they say people are born different but why does it feel like were all the same us brainwashed into the same system they expect perfection so how can we be different it wasnt until i saw my reflection thats when i woke up and realized that the truth had been hidden away from us a sign an omen a a glitch  의심스러운 이 세상은 왜 나를 혼란스럽게 할까 끝없이 많은 고민들이 내 머릿속에 머물러 나는 더욱더 갇혀있는 느낌이 든다 여긴 어딜까 내가 누굴까 난 내가 아니야 내 자신을 보며 내가 내가 아니다 라는 것을 알게 되고 그 순간 나는 깨어났다  난 내가 아니야 왜 그동안 자고 있었던 건데 난 내가 아니야 이제 깨어나서 벗어나야 해 이 공간에서 여긴 어디 내 머릿속에 temple 나의 집 나를 속여 흐름 깨야 하는 tempo 희미한 무언가를 찾아보려 애를 써 서서히 두 눈을 감을수록 선명해지는 light uh 어둠 속에 내 자신이 보일까 지금 눈을 떠  
8,district9,  talk talk 참 말들이 많아 what what 헛소리만 늘어 잔소리나 욕지거리는 제발 그만해 죽이 되든 밥이 되든 내가 알아서 할게  사실은 난 나를 몰라 답답해 언제나 매일 고민 중 answer me 그럼 해답을 줘봐 속 시원한 대답 좀 못하면 제발 간섭 좀 마 please 여기는 우리 jungle이지 이 안에서는 우리 룰 대로 움직여 내 구역 district 9  싹 다 뒤집어놔 eh oh 다 뒤집어 now eh oh 부정적인 시선 집어치워 back off 그건 잘못됐어 나도 나를 잘 모르는데 왜 네가 나를 아는 듯이 말해 oh get lost 여긴 우리 구역 get outta here 여기 네 자리는 없어 district 9  oh oh better watch out oh oh 위험하니까 oh oh better watch out 여긴 우리 구역 district 9  stray kids everywhere all around the world 떠돌지들 말고 여기로 찾아오렴 stray kids everywhere all around the world 점점 커져가는 그들의 발걸음 소리  남들이 우리를 볼 땐 문제아들의 무리 그런 시선들을 바꾼다는 건 쉽지 않은 문제 풀이 풀리지 않는 오해와 편견들에 풀이 죽을 수는 없지 우리가 누구인가를 증명하는 게 우리들의 임무지  그들은 말해 너넨 나랑 다르니까 여길 떠나줘 그래 근데 다르다는 말은 틀린 게 아니란 것만은 알아둬 곧 시기 받을 시기 우리 위친 작은 빛이 크게 비치는 district 아홉으로 시작해 uh 끝은 아마 모두의 아지트  싹 다 뒤집어놔 eh oh 다 뒤집어 now eh oh 부정적인 시선 집어치워 back off 그건 잘못됐어 나도 나를 잘 모르는데 왜 네가 나를 아는 듯이 말해 oh get lost 여긴 우리 구역 get outta here 여기 네 자리는 없어 district 9  거울 앞에 freeze ey 땀에 젖은 채 ey 그러니 제발 입 다물고 모두 쉿 진짜 내 모습이 무언지 찾는 중 피땀 흘린 연습실 바닥은 red 밤을 새며 죽도록 달렸는데 결국엔 일그러진 표정 앞에 광대 노답 우린 우리 공간을 지킬게  싹 다 뒤집어놔 eh oh 다 뒤집어 now eh oh 부정적인 시선 집어치워 back off 그건 잘못됐어 나도 나를 잘 모르는데 왜 네가 나를 아는 듯이 말해 oh get lost 여긴 우리 구역 get outta here 여기 네 자리는 없어 district 9  oh oh better watch out oh oh 위험하니까 oh oh better watch out 여긴 우리 구역 district 9  
9,mirror,  where am i who am i i am not me  도대체 언제부터 시작일까 풀리지 않는 문제 내가 누구인가 그 누구도 낸 적 없는 숙제 내게 성립될 만한 공식들을 외우기 전에 뭘 대입할지 선택할만한 기회조차 거의 없었네  어딜 가는지도 모른 채 일단은 달리기만 해 옆에 거울들 눈치를 보며 그냥 따라다니기만 해 아직 어려서 그렇단 이유 크면 더 헤맬 거 같은 느낌은 혼란스런 정신 속에 겹쳐 달리다 계속 기웃기웃  혼란 속에 갇혀 나도 아직 날 잘 몰라서 너는 아니 답이 없는 내게 또 물어 you make me cry 내 손을 잡아줘 네 앞에서 날 바라본다  거울 속에 비친 난 미로 eh 내 안을 비춰줄 my mirror no 어디서 찾아야 할까 for once i wish i could see myself 난 계속해서 찾아 헤매고 있어 oh  im not me 너 도대체 누구야 내가 알던 내 모습과는 너무도 다른 나 모르는 게 많아 꿈을 둘째 치고 내 속 맘조차 몰라서 눈물만 더 맺히고  물음표들과 점 셋으로 끝나는 매일 반복되는 상황 내가 아닌 것 같다가도 맞다는 속맘은 방황 하기만 해 잔인하게 해답은 답을 숨기고 난 또 찾기만 해 손댈 수 없이 커진 나의 의문 답이 없네  혼란 속에 갇혀 나도 아직 날 잘 몰라서 너는 아니 답이 없는 내게 또 물어 you make me cry 내 손을 잡아줘 네 앞에서 날 바라본다  거울 속에 비친 난 미로 eh 내 안을 비춰줄 my mirror no 어디서 찾아야 할까 for once i wish i could see myself 난 계속해서 찾아 헤매고 있어 oh  내가 누군지 나도 모르지 시킨 대로 여기까지 왔던 memories 어디가 내가 가라는 길 걸어가 묻지 마 일단 뛰는 게 우선이야 내가 누군지 나도 모르지 시킨 대로 여기까지 왔던 memories 어디가 내가 가라는 길 걸어가 묻지 마 일단 뛰는 게 우선이야  who am i 내가 나를 보는데 감이 안 와 i am not 혹시 몰라 다른 거울을 찾아 얼마나 헤매야 내가 나를 보며 웃을 수 있을까 what you want what you want a mirror for myself  거울 속에 비친 난 미로 eh 내 안을 비춰줄 my mirror no 어디서 찾아야 할까 for once i wish i could see myself 난 계속해서 찾아 헤매고 있어 oh  내가 누군지 나도 모르지 시킨 대로 여기까지 왔던 memories 어디가 내가 가라는 길 걸어가 묻지 마 일단 뛰는 게 우선이야 내가 누군지 나도 모르지 시킨 대로 여기까지 왔던 memories 어디가 내가 가라는 길 걸어가 묻지 마 일단 뛰는 게 우선이야  
